name,play_store_genres,app_store_genres,play_store_price,app_store_price,play_store_rating,app_store_rating,play_store_content_rating,app_store_content_rating
Fernanfloo,Arcade,Games,0,0,4.8,4.5,Everyone 10+,9+
PewDiePie's Tuber Simulator,Casual,Games,0,0,4.8,5,Teen,9+
ASOS,Shopping,Shopping,0,0,4.7,5,Everyone,4+
Bible,Books & Reference,Reference,0,0,4.7,4.5,Teen,4+
Domino's Pizza USA,Food & Drink,Food & Drink,0,0,4.7,5,Everyone,4+
"Egg, Inc.",Simulation,Games,0,0,4.7,5,Everyone,4+
Narcos: Cartel Wars,Strategy,Games,0,0,4.7,4.5,Teen,12+
Solitaire,Card,Games,0,0,4.7,4.5,Everyone,4+
The Guardian,News & Magazines,News,0,0,4.7,5,Teen,12+
Toy Blast,Puzzle,Games,0,0,4.7,4.5,Everyone,4+
Zombie Catchers,Action,Games,0,0,4.7,4.5,Everyone,12+
Angry Birds Blast,Puzzle,Games,0,0,4.6,4.5,Everyone,4+
Animal Jam - Play Wild!,Casual;Pretend Play,Games,0,0,4.6,4.5,Everyone,9+
Chase Mobile,Finance,Finance,0,0,4.6,4.5,Everyone,4+
Choices: Stories You Play,Simulation,Games,0,0,4.6,4.5,Teen,12+
Clash of Clans,Strategy,Games,0,0,4.6,4.5,Everyone 10+,9+
Clash Royale,Strategy,Games,0,0,4.6,4.5,Everyone 10+,9+
Fallout Shelter,Simulation,Games,0,0,4.6,4.5,Teen,12+
FINAL FANTASY BRAVE EXVIUS,Role Playing,Games,0,0,4.6,4.5,Teen,12+
Fishdom,Puzzle,Games,0,0,4.6,4.5,Everyone,4+
Fuel Rewards® program,Lifestyle,Shopping,0,0,4.6,4.5,Everyone,4+
Geometry Dash Meltdown,Arcade,Games,0,0,4.6,4.5,Everyone,4+
Geometry Dash World,Arcade,Games,0,0,4.6,4.5,Everyone,4+
Hill Climb Racing 2,Racing,Games,0,0,4.6,4.5,Everyone,9+
Hitman Sniper,Action,Games,$0.99 ,0.99,4.6,4.5,Mature 17+,17+
MARVEL Future Fight,Role Playing,Games,0,0,4.6,4.5,Everyone 10+,9+
Pinterest,Social,Social Networking,0,0,4.6,4.5,Teen,12+
Score! Hero,Sports,Games,0,0,4.6,4.5,Everyone,4+
Shadow Fight 2,Action,Games,0,0,4.6,4.5,Everyone 10+,12+
Township,Casual,Games,0,0,4.6,4.5,Everyone,4+
War Robots,Action,Games,0,0,4.6,4.5,Everyone 10+,12+
Angry Birds Epic RPG,Role Playing,Games,0,0,4.5,4.5,Everyone,4+
Army of Heroes,Strategy,Games,0,0,4.5,4.5,Everyone 10+,12+
Asphalt 8: Airborne,Racing,Games,0,0,4.5,4.5,Teen,12+
Boom Beach,Strategy,Games,0,0,4.5,4.5,Everyone 10+,9+
Bullet Force,Action,Games,0,0,4.5,4.5,Teen,17+
Cooking Fever,Arcade,Games,0,0,4.5,4.5,Everyone,4+
Discord - Chat for Gamers,Communication,Social Networking,0,0,4.5,4.5,Teen,4+
Disney Crossy Road,Arcade;Action & Adventure,Games,0,0,4.5,4.5,Everyone,4+
DoorDash - Food Delivery,Food & Drink,Food & Drink,0,0,4.5,4.5,Everyone,4+
Dude Perfect,Sports,Games,0,0.99,4.5,4.5,Everyone,4+
Dude Perfect 2,Action,Games,0,0,4.5,4.5,Everyone,4+
Geometry Dash Lite,Arcade,Games,0,0,4.5,5,Everyone,4+
GroupMe,Communication,Social Networking,0,0,4.5,4.5,Everyone,4+
Hay Day,Casual,Games,0,0,4.5,4.5,Everyone,4+
Hot Wheels: Race Off,Racing;Action & Adventure,Games,0,0,4.5,4.5,Everyone,4+
Hungry Shark Evolution,Arcade,Games,0,0,4.5,4.5,Teen,12+
Hungry Shark World,Action,Games,0,0,4.5,4.5,Teen,12+
Instagram,Social,Photo & Video,0,0,4.5,4.5,Teen,12+
Microsoft Excel,Productivity,Productivity,0,0,4.5,4.5,Everyone,4+
Microsoft Word,Productivity,Productivity,0,0,4.5,4.5,Everyone,4+
My Horse,Casual,Games,0,0,4.5,4.5,Everyone,4+
My Talking Angela,Casual,Games,0,0,4.5,4.5,Everyone,4+
My Talking Tom,Casual,Games,0,0,4.5,4.5,Everyone,4+
Nyan Cat: Lost In Space,Arcade,Games,0,0,4.5,4.5,Everyone 10+,4+
OK K.O.! Lakewood Plaza Turbo,Action;Action & Adventure,Games,0,0,4.5,4.5,Everyone 10+,9+
PicsArt Photo Studio: Collage Maker & Pic Editor,Photography,Photo & Video,0,0,4.5,4.5,Teen,12+
Real Basketball,Sports,Games,0,0,4.5,4.5,Everyone,4+
Real Racing 3,Racing;Action & Adventure,Games,0,0,4.5,4.5,Everyone,4+
ROBLOX,Adventure;Action & Adventure,Games,0,0,4.5,4.5,Everyone 10+,12+
Rolling Sky,Board,Games,0,0,4.5,4.5,Everyone,4+
Seven - 7 Minute Workout Training Challenge,Health & Fitness,Health & Fitness,0,0,4.5,4.5,Everyone,4+
SimCity BuildIt,Simulation,Games,0,0,4.5,4.5,Everyone 10+,4+
Smash Hit,Arcade,Games,0,0,4.5,4.5,Everyone,4+
Sonic Dash,Arcade,Games,0,0,4.5,4.5,Everyone,4+
Star Wars™: Galaxy of Heroes,Role Playing,Games,0,0,4.5,4.5,Everyone 10+,9+
Starbucks,Food & Drink,Food & Drink,0,0,4.5,4.5,Everyone,4+
Subway Surfers,Arcade,Games,0,0,4.5,4.5,Everyone 10+,9+
The Washington Post Classic,News & Magazines,News,0,0,4.5,4.5,Everyone 10+,12+
Traffic Racer,Racing,Games,0,0,4.5,4.5,Everyone,4+
Trello,Productivity,Productivity,0,0,4.5,4.5,Everyone,4+
Trivia Crack,Trivia,Games,0,0,4.5,4.5,Everyone,4+
Wish - Shopping Made Fun,Shopping,Shopping,0,0,4.5,4.5,Everyone,12+
YouTube Kids,Entertainment;Music & Video,Entertainment,0,0,4.5,4.5,Everyone,4+
