name,name-2,play_store_years_estimate,app_store_years_estimate,play_store_app_lifetime_income,app_store_app_lifetime_income,total_lifetime_cost,both_store_total_lifetime_income
Angry Birds Blast,Angry Birds Blast,9,9,540000,540000,118000,1080000
Angry Birds Epic RPG,Angry Birds Epic RPG,9,9,540000,540000,118000,1080000
ASOS,ASOS,9,10,540000,600000,118000,1140000
Chase Mobile,Chase Mobile,9,9,540000,540000,118000,1080000
Discord - Chat for Gamers,Discord - Chat for Gamers,9,9,540000,540000,118000,1080000
Disney Crossy Road,Disney Crossy Road,9,9,540000,540000,118000,1080000
Domino's Pizza USA,Domino's Pizza USA,9,10,540000,600000,118000,1140000
DoorDash - Food Delivery,DoorDash - Food Delivery,9,9,540000,540000,118000,1080000
Dude Perfect,Dude Perfect,9,9,540000,540000,118000,1080000
Dude Perfect 2,Dude Perfect 2,9,9,540000,540000,118000,1080000
"Egg, Inc.","Egg, Inc.",9,10,540000,600000,118000,1140000
Fishdom,Fishdom,9,9,540000,540000,118000,1080000
Fuel Rewards® program,Fuel Rewards® program,9,9,540000,540000,118000,1080000
Geometry Dash World,Geometry Dash World,9,9,540000,540000,118000,1080000
GroupMe,GroupMe,9,9,540000,540000,118000,1080000
Hot Wheels: Race Off,Hot Wheels: Race Off,9,9,540000,540000,118000,1080000
My Horse,My Horse,9,9,540000,540000,118000,1080000
Nyan Cat: Lost In Space,Nyan Cat: Lost In Space,9,9,540000,540000,118000,1080000
Real Basketball,Real Basketball,9,9,540000,540000,118000,1080000
Real Racing 3,Real Racing 3,9,9,540000,540000,118000,1080000
Seven - 7 Minute Workout Training Challenge,Seven - 7 Minute Workout Training Challenge,9,9,540000,540000,118000,1080000
Solitaire,Solitaire,9,9,540000,540000,118000,1080000
Solitaire,Solitaire,9,9,540000,540000,118000,1080000
Starbucks,Starbucks,9,9,540000,540000,118000,1080000
Trello,Trello,9,9,540000,540000,118000,1080000
