"round","genres"
4.19,"Auto & Vehicles"
4.24,"Sports"
4.09,"Entertainment"
4.37,"Simulation;Education"
4.44,"Events"
4.19,"Medical"
NULL,"Art & Design;Action & Adventure"
4.42,"Simulation;Action & Adventure"
4.20,"Communication;Creativity"
4.47,"Casual;Brain Games"
4.34,"Parenting"
4.33,"Entertainment;Brain Games"
NULL,"Trivia;Education"
4.20,"House & Home"
4.24,"Educational;Education"
4.34,"Board;Brain Games"
4.18,"Libraries & Demo"
4.60,"Puzzle;Education"
4.30,"Lifestyle;Education"
4.27,"Casual;Education"
4.13,"Finance"
4.20,"Entertainment;Action & Adventure"
4.37,"Puzzle;Brain Games"
4.18,"Adventure"
4.00,"Video Players & Editors;Music & Video"
4.25,"Strategy"
4.10,"Travel & Local;Action & Adventure"
4.10,"Adventure;Education"
4.35,"Arcade;Action & Adventure"
4.50,"Strategy;Education"
4.24,"Weather"
4.20,"Books & Reference;Education"
4.11,"Travel & Local"
4.38,"Education;Pretend Play"
4.31,"Casual;Creativity"
4.18,"Casual;Pretend Play"
4.17,"Racing"
4.80,"Board;Pretend Play"
4.10,"Lifestyle"
4.35,"Simulation;Pretend Play"
4.41,"Word"
4.40,"Entertainment;Education"
4.31,"Action;Action & Adventure"
4.10,"Casual;Music & Video"
4.30,"Music & Audio;Music & Video"
4.60,"Strategy;Action & Adventure"
4.30,"Card;Action & Adventure"
4.42,"Adventure;Action & Adventure"
4.20,"Education;Music & Video"
4.21,"Productivity"
4.34,"Role Playing;Action & Adventure"
4.39,"Puzzle"
4.60,"Adventure;Brain Games"
4.26,"Shopping"
4.30,"Puzzle;Action & Adventure"
3.90,"Health & Fitness;Action & Adventure"
4.21,"Music"
4.37,"Education;Education"
4.33,"Parenting;Music & Video"
4.00,"Entertainment;Pretend Play"
4.29,"Casino"
4.80,"Comics;Creativity"
4.40,"Puzzle;Creativity"
4.22,"Educational;Brain Games"
3.87,"Educational"
4.13,"News & Magazines"
4.30,"Role Playing;Brain Games"
4.40,"Art & Design;Creativity"
4.20,"Educational;Action & Adventure"
4.06,"Video Players & Editors"
3.80,"Parenting;Brain Games"
4.19,"Photography"
NULL,"Role Playing;Education"
4.10,"Video Players & Editors;Creativity"
4.28,"Role Playing"
3.90,"Art & Design;Pretend Play"
4.53,"Music;Music & Video"
3.87,"Parenting;Education"
4.15,"Casual"
4.34,"Education;Creativity"
4.50,"Arcade;Pretend Play"
4.35,"Books & Reference"
4.30,"Arcade"
4.00,"Lifestyle;Pretend Play"
3.96,"Educational;Creativity"
4.17,"Food & Drink"
4.02,"Role Playing;Pretend Play"
3.97,"Dating"
4.40,"Strategy;Creativity"
NULL,"Books & Reference;Creativity"
4.70,"Health & Fitness;Education"
4.53,"Entertainment;Creativity"
4.16,"Communication"
4.50,"Tools;Education"
4.40,"Card;Brain Games"
4.05,"Maps & Navigation"
4.29,"Action"
4.09,"Card"
4.35,"Sports;Action & Adventure"
4.36,"Art & Design"
4.04,"Trivia"
4.05,"Tools"
4.21,"Entertainment;Music & Video"
4.12,"Business"
4.03,"Board;Action & Adventure"
4.26,"Social"
4.34,"Personalization"
4.30,"Education;Action & Adventure"
4.50,"Racing;Pretend Play"
4.24,"Educational;Pretend Play"
4.29,"Board"
4.30,"Racing;Action & Adventure"
4.28,"Health & Fitness"
4.14,"Comics"
4.27,"Casual;Action & Adventure"
4.15,"Simulation"
4.43,"Education;Brain Games"
4.30,"Education"
4.28,"Beauty"
