"name","rating"
"Urlaubspiraten","5.0"
"Galileo Organ","5.0"
"Timeshare+","5.0"
"minne - shopping handmade item","5.0"
"Kingdom Rush Frontiers HD","5.0"
"AZZL","5.0"
"5K Runner: 0 to 5K Run Trainer. Couch potato to 5K","5.0"
"planetarian - Dream of Little Star -","5.0"
"Sun Surveyor - Sun & Moon Visualization Tool","5.0"
"直播吧(官方版)-体育从这里开始","5.0"
"买火车票Pro","5.0"
"家計簿マネーフォワード-自動連携で簡単 人気の家計簿","5.0"
"Sorcery! 2","5.0"
"Memrise: learn languages","5.0"
"The Guardian","5.0"
"Domino's Pizza USA","5.0"
"Knots 3D","5.0"
"Infect Them All : Vampires","5.0"
"J23 - Jordan Release Dates and History","5.0"
"Credit Karma: Free Credit Scores, Reports & Alerts","5.0"
"Dragon Island Blue","5.0"
"Tiny Scanner+ - PDF scanner to scan document, receipt & fax","5.0"
"Runtastic Push Ups PRO: Workouts, Trainer, Counter","5.0"
"Rocket Video for Google Cast and Chromecast to TV","5.0"
"Baidu Videos","5.0"
"BeautyCam - AR Carnie selfie","5.0"
"X-War: Clash of Zombies","5.0"
"Geometry Dash","5.0"
"Duet Game","5.0"
"Sniper Shooter: Gun Shooting Games","5.0"
"Infinity Blade","5.0"
"Dungeon Raid","5.0"
"Bitauto Autoprice","5.0"
"Kurumaki Calendar -month scroll calendar-","5.0"
"驴妈妈旅游-订景点门票机票火车票特价酒店","5.0"
"蘑菇街-网红直播搭配的购物特卖平台","5.0"
"ASOS","5.0"
"HB2 PLUS","5.0"
"Cytus","5.0"
"中华万年历-2亿用户首选的日历软件","5.0"
"驾考宝典-2017最新考驾照驾校学车驾考通","5.0"
"FreePrints – Photos Delivered","5.0"
"Sworkit - Custom Workouts for Exercise & Fitness","5.0"
"Frax HD - The First Realtime Immersive Fractals","5.0"
"We Heart It - Fashion, wallpapers, quotes, tattoos","5.0"
"The Room","5.0"
"e-Sword HD: Bible Study Made Easy","5.0"
"楽天カード","5.0"
"Infect Them All 2 : Zombies","5.0"
"Sky Guide: View Stars Night or Day","5.0"
"火车票Pro for 12306","5.0"
"ウィズダム英和・和英辞典 2","5.0"
"Endless Alphabet","5.0"
"CARROT To-Do - Talking Task List","5.0"
"Pictoword: Fun 2 Pics Guess What's the Word Trivia","5.0"
"Iron Force","5.0"
"Cut the Rope: Time Travel","5.0"
"BeautyPlus - Selfie Camera for a Beautiful Image","5.0"
"鬼とび","5.0"
"e-Sword LT: Bible Study on the Go","5.0"
"The Photographer's Ephemeris","5.0"
"美柚 - 女生助手","5.0"
"▻Sudoku +","5.0"
"Flashlight Ⓞ","5.0"
"Zappos: shop shoes & clothes, fast free shipping","5.0"
"Learn English quickly with MosaLingua","5.0"
"Meitu","5.0"
"Bodyweight Training: You Are Your Own Gym","5.0"
"Chess Pro - with coach","5.0"
"PhotoToaster - Photo Editor, Filters, Effects and Borders","5.0"
"TurboScan™ Pro - document & receipt scanner: scan multiple pages and photos to PDF","5.0"
"CCW – Concealed Carry 50 State Guide","5.0"
"Daily Audio Bible App","5.0"
"Pic Collage - Picture Editor & Photo Collage Maker","5.0"
"King of Dragon Pass","5.0"
"FotoRus -Camera & Photo Editor & Pic Collage Maker","5.0"
"NOAA Hi-Def Radar Pro -  Storm Warnings, Hurricane Tracker & Weather Forecast","5.0"
"Tenuto","5.0"
"Deluxe Moon Pro - Moon Phases Calendar","5.0"
"Tap the Frog","5.0"
"Head Soccer","5.0"
"Headspace","5.0"
"Ski Safari","5.0"
"Louvre HD","5.0"
"Majiang Mahjong（单机+川麻+二人+武汉+国标）","5.0"
"内涵段子 - 精选搞笑图片、视频","5.0"
":) Sudoku +","5.0"
"Pumped: BMX","5.0"
"Fieldrunners 2","5.0"
"Plants vs. Zombies","5.0"
"Fragment's Note","5.0"
"书香云集Pro-小说电子书免费看书读书听书追书无广告阅读器","5.0"
"Shopular Coupons, Weekly Deals for Target, Walmart","5.0"
"Word Chums","5.0"
"Learn to Speak Spanish Fast With MosaLingua","5.0"
"Plants vs. Zombies HD","5.0"
"Yoga Studio","5.0"
"Printicular Print Photos - 1 Hour Pickup","5.0"
"Runtastic Squats PRO – Workouts, Trainer & Counter","5.0"
"Word Swag - Cool fonts & typography generator","5.0"
